hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,stayed_public,exited_public,switched_sector
450778093617847,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,,7,3,31,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,20.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,2542.0,508.4,2.0,2.0,,,,13709.0758,3386.9493,0.0,0.0,1.0,1.0,0,0,44022,2,,,,1.0,2.0,,3409.4639,7860.0,2310.0,-1,,,,,,,11091.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,17.0,8.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,1.0,1.0,,7,3,32,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,2.0,5.0,-4.0,,,,,,,,10.0,3.0,0.0,1,2.0,2.0,2.0,,116.0,2.0,2.0,,,,14699.0847,3626.9268,0.0,0.0,1.0,,0,0,32167,2,,,,1.0,2.0,,3605.2953,7860.0,2310.0,-1,,,,,,,10976.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,17.0,8.0,40.0,2009,MIS4_to_MIS8,True,False,False
778430773420971,1,1.0,6,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,16,63,,2,40,2,,2,0,0,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1620.0,648.0,1.0,,,,,12526.3581,2902.3964,,,1.0,1.0,0,42,34189,2,,,2.0,,,,2876.4769,7870.0,910.0,-1,,,,,,,11185.0,2008,576,573,,,,,,13.0,2.0,40.0,2008,1.0,6,8,2,8300,83001,1,17,16980,0,1.0,1.0,1.0,7,16,64,,2,40,2,,0,0,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1400.0,560.0,1.0,,,,,12504.1376,3149.6368,,,1.0,1.0,0,42,53908,2,,,1.0,,,,3101.4985,9370.0,910.0,-1,,,,,,,11069.0,2009,588,573,,,,,,12.0,2.0,51.0,2009,MIS4_to_MIS8,True,False,False
968007952179410,1,1.0,4,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,,7,1,29,,2,43,1,,1,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,784.61,1.0,,,,,15723.7896,3871.8698,3.0,1.0,0.0,,0,0,4906,1,,,,1.0,1.0,,3910.5257,7860.0,2310.0,-1,,,,,,,11266.0,2008,576,573,0.0,0.0,1.0,0.0,0.0,18.0,8.0,40.0,2008,1.0,4,8,2,8300,83001,1,17,16980,0,1.0,1.0,,7,1,30,,2,43,1,,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,10.0,26.0,,,10.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,865.38,1.0,,,,,14699.0847,3626.9268,3.0,1.0,0.0,,0,0,50035,1,,,,1.0,1.0,,3605.2953,7860.0,2310.0,-1,,,,,,,11164.0,2009,588,573,0.0,0.0,1.0,0.0,0.0,18.0,8.0,40.0,2009,MIS4_to_MIS8,True,False,True
10975091417959,1,1.0,7,4,2,8300,83001,1,1,33,17,41180,0,2.0,1.0,,6,2,74,,2,40,1,,1,0,0,4,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1110.5,2.0,2.0,,,,11513.1179,2713.7622,,,0.0,,0,0,4924,1,,,3.0,,,,2718.6377,9470.0,2150.0,-1,,,,,,,11284.0,2008,576,573,,,,,,14.0,7.0,51.0,2008,1.0,7,8,2,8300,83001,1,17,41180,0,2.0,1.0,,6,2,75,,2,40,1,,0,0,4,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1195.0,2.0,2.0,,,,8893.0437,2525.0501,,,0.0,,0,0,4618,1,,,3.0,,,,2450.5406,9470.0,2150.0,-1,,,,,,,11182.0,2009,588,573,,,,,,14.0,7.0,51.0,2009,MIS4_to_MIS8,True,False,False
33341770924575,1,1.0,6,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,2,29,,1,43,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,55.0,,65.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,576.92,2.0,2.0,,,,16634.3021,4034.5872,,,0.0,,0,0,34178,1,,,,2.0,,,4279.2834,9480.0,2020.0,7010,,,,,,,11304.0,2008,576,573,,,,,,16.0,6.0,51.0,2008,1.0,6,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,2,30,,1,43,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,5.0,0.0,1,1.0,2.0,2.0,,769.23,2.0,2.0,,,,14542.9778,3266.7524,,,0.0,,0,0,20619,1,,,,1.0,1.0,,3255.0661,8180.0,2000.0,-1,,,,,,,11210.0,2009,588,573,,,,,,18.0,6.0,42.0,2009,MIS4_to_MIS8,False,True,True
107909341897877,1,2.0,3,4,2,8300,83001,1,1,33,17,41180,163,2.0,1.0,,6,1,57,,1,42,1,,1,1,1,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,1.0,1.0,750.0,865.38,1.0,,,,,10692.0115,2651.5593,4.0,1.0,0.0,1.0,0,0,34353,1,,,3.0,,,,2660.5535,6370.0,5550.0,-1,4.0,,,,,,11344.0,2008,576,573,0.0,0.0,0.0,1.0,0.0,14.0,17.0,23.0,2008,1.0,3,8,2,8300,83001,1,17,41180,163,2.0,1.0,,6,1,58,,1,42,1,,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,48.0,,50.0,,,,,,2.0,1.0,0.0,1,2.0,,1.0,1680.0,806.4,1.0,,,,,9326.4804,2364.8231,0.0,0.0,1.0,1.0,23,42,20814,1,,,4.0,,,,2351.1001,6370.0,5550.0,-1,4.0,,,,,,11256.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,15.0,17.0,23.0,2009,MIS4_to_MIS8,True,False,False
193857503043743,1,2.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,3,41,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,903.0,1.0,,,,,12254.0336,3018.4847,3.0,2.0,1.0,,0,42,51323,2,,,,,,2.0,3049.2547,7860.0,2310.0,-1,,,,,,,11385.0,2008,576,573,0.0,0.0,1.0,0.0,0.0,18.0,8.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,3,42,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,13.0,32.0,,,13.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,1923.0,1.0,,,,,13449.0877,3427.3295,3.0,2.0,1.0,,0,0,66732,2,,,,,,2.0,3386.0223,7860.0,2310.0,-1,,,,,,,11288.0,2009,588,573,0.0,0.0,1.0,0.0,0.0,18.0,8.0,40.0,2009,MIS4_to_MIS8,True,False,False
197867709050761,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,1,42,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,55.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1923.07,1.0,,,,,12254.0336,3018.4847,0.0,0.0,0.0,,0,0,51322,1,,,,,,2.0,3049.2547,7860.0,2310.0,-1,,,,,,,11409.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,18.0,8.0,40.0,2008,1.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,1,43,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,10.0,24.0,,,10.0,,,4.0,4.0,0.0,1,2.0,2.0,2.0,,1923.07,1.0,,,,,13449.0877,3427.3295,0.0,0.0,0.0,,0,0,42196,1,,,,,,2.0,3386.0223,7860.0,2310.0,-1,,,,,,,11323.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,18.0,8.0,40.0,2009,MIS4_to_MIS8,False,True,True
371953007908196,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,3,54,1.0,1,40,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,4.0,16.0,,,4.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,1692.3,2.0,1.0,,,,10922.9018,2705.4469,0.0,0.0,0.0,,0,0,4904,2,,,3.0,,,,2741.4693,7860.0,1100.0,-1,,,,,,,11512.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,14.0,3.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,3,55,1.0,1,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,50.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1692.0,2.0,2.0,,,,9632.7091,2442.4705,0.0,0.0,1.0,,0,42,42235,2,,,4.0,,,,2428.2969,7860.0,1100.0,-1,,,,,,,11442.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,15.0,3.0,40.0,2009,MIS4_to_MIS8,True,False,False
630972093317699,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,3,54,1.0,2,45,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1769.23,2.0,2.0,,,,10597.6685,2613.9108,4.0,1.0,0.0,,0,0,34226,2,,,,,,,2649.4535,7860.0,230.0,-1,,,,,,,11564.0,2008,576,573,0.0,0.0,0.0,1.0,0.0,18.0,1.0,40.0,2008,1.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,3,55,1.0,2,45,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,,45.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1730.76,2.0,2.0,,,,10427.7875,2638.6596,0.0,0.0,0.0,,0,0,50020,2,,,,,,,2621.8903,7870.0,230.0,-1,,,,,,,11503.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,18.0,1.0,40.0,2009,MIS4_to_MIS8,True,False,False
