hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
310974092517939,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,3.0,7,1,66,2.0,2,39,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,20.0,,20.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,725.0,145.0,2.0,2.0,,,,11747.5932,2716.6622,0,0,1.0,1.0,0,42,43033,1,1.0,,,,,,2696.9537,7860.0,4130.0,-1,,,,,,,10981.0,2014,648,645,0,0,0,0,0,12.0,13.0,40.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,3.0,7,1,67,2.0,2,39,1,,1,1,1,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,11908.0187,2981.4153,0,0,,,0,0,31029,1,1.0,,,,,,2983.2651,8680.0,4130.0,-1,,,,,,,11752.0,2015,660,645,0,0,0,0,0,12.0,13.0,46.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
571389017906795,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,3,66,1.0,1,40,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.0,1.0,,,,,12789.1667,3164.6412,0,0,1.0,,0,0,57804,2,,,2.0,,,,3121.462,9470.0,5220.0,-1,4.0,,,,,,11026.0,2014,648,645,0,0,0,0,0,13.0,17.0,51.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,3,67,1.0,1,40,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1057.69,1.0,,,,,13478.8012,3331.1727,0,0,0.0,,0,0,6519,2,,,1.0,,,,3197.6378,9470.0,5220.0,-1,4.0,,,,,,11806.0,2015,660,645,0,0,0,0,0,12.0,17.0,51.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
799240533190971,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,3.0,7,3,33,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,1923.07,1.0,,2.0,,,10891.514,2717.6051,3,2,0.0,,0,0,43032,2,,,,2.0,,,2751.2827,9470.0,3850.0,-1,,,,,,,11115.0,2014,648,645,0,0,1,0,0,16.0,12.0,51.0,2014,1.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,3.0,7,3,34,1.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,2300.0,1920.0,1.0,,2.0,,,11740.3289,2896.7324,3,2,1.0,1.0,0,42,41292,2,,,,,,,2912.0884,9470.0,3850.0,-1,,,,,,,11883.0,2015,660,645,0,0,1,0,0,,12.0,51.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
904067207178880,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,1,58,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,30.0,,30.0,,,14.0,,,6.0,3.0,0.0,1,2.0,,1.0,1600.0,480.0,2.0,2.0,,,,15074.8373,3667.8561,0,0,0.0,0.0,0,0,21150,1,,,,2.0,,,3693.6389,7860.0,9120.0,-1,,,,,,,11136.0,2014,648,645,0,0,0,0,0,16.0,22.0,40.0,2014,1.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,,7,1,59,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,32.0,,32.0,,,15.0,,,7.0,3.0,0.0,1,2.0,,1.0,2200.0,440.0,2.0,2.0,,,,13596.3028,3452.6756,0,0,0.0,0.0,0,0,3779,1,,,,,,,3441.1994,7860.0,9120.0,-1,,,,,,,11897.0,2015,660,645,0,0,0,0,0,,22.0,40.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
904067207178880,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,3,55,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,2400.0,961.53,2.0,2.0,,,,10167.2257,2614.6325,0,0,0.0,0.0,0,0,21150,2,,,,2.0,,,2608.4698,9370.0,530.0,-1,,,,,,,11137.0,2014,648,645,0,0,0,0,0,16.0,2.0,51.0,2014,1.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,,7,3,56,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,2.0,4.0,35.0,,,,,,,,5.0,3.0,0.0,1,2.0,1.0,1.0,1759.0,961.53,1.0,,,,,11927.5847,2880.8614,0,0,0.0,1.0,0,0,3779,2,,,,,,,2907.4573,9370.0,530.0,-1,,,,,,,11898.0,2015,660,645,0,0,0,0,0,,2.0,51.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
107087001060751,1,2.0,1,4,2,9200,92001,1,1,33.0,17,41180,119,2.0,1.0,,6,3,39,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,923.07,1.0,,2.0,,,10698.0287,2699.3859,3,1,0.0,,0,0,57839,2,,,,2.0,,,2674.4149,7870.0,5700.0,-1,2.0,,,,,,11316.0,2014,648,645,0,0,1,0,0,16.0,17.0,40.0,2014,2.0,1,8,2,9200,92001,1,41180,119,2.0,1.0,,6,3,33,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,48.0,,59.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,2881.0,1886.88,2.0,2.0,2.0,,,11156.0937,2811.6283,1,2,0.0,0.0,0,0,6648,2,,,,,,,2809.7354,8180.0,3255.0,-1,,,,,,,12042.0,2015,660,645,1,0,0,0,1,,10.0,42.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,1,0,1,retention
171856007001007,1,1.0,1,4,2,9200,92001,1,1,33.0,17,41180,119,2.0,1.0,,6,3,30,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.53,1.0,,2.0,,,11509.8821,2970.5245,5,2,0.0,,0,0,33278,2,,,,,,3.0,2968.3105,7860.0,2330.0,-1,,,,,,,11338.0,2014,648,645,1,1,0,0,1,18.0,8.0,40.0,2014,1.0,1,8,2,9200,92001,1,41180,119,2.0,1.0,,6,3,31,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,44.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1000.0,1.0,,2.0,,,11156.0937,2811.6283,5,2,0.0,,0,0,30974,2,,,,,,,2809.7354,7860.0,2330.0,-1,,,,,,,12098.0,2015,660,645,1,1,0,0,1,,8.0,40.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
193797001096703,1,1.0,7,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,2,32,,2,44,1,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,44.0,,44.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,961.38,2.0,2.0,2.0,,,10820.6346,2792.6402,0,0,0.0,,0,0,53718,1,,,,,,2.0,2790.5588,7870.0,1650.0,-1,,,,,,,11359.0,2014,648,645,0,0,0,0,0,18.0,5.0,40.0,2014,1.0,7,8,2,9200,92001,1,16980,0,2.0,1.0,,7,2,33,,2,44,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,42.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,961.53,2.0,2.0,2.0,,,11156.0937,2811.6283,0,0,0.0,,0,0,28483,1,,,,,,,2809.7354,7870.0,230.0,2340,,,,,,,12122.0,2015,660,645,0,0,0,0,0,,1.0,40.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,1,0,1,retention
196997003031758,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,3,52,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1000.0,400.0,2.0,2.0,2.0,,,10734.6811,2687.0519,0,0,1.0,1.0,0,42,33205,2,1.0,,,,,,2665.6074,9370.0,5700.0,-1,,,,,,,11380.0,2014,648,645,0,0,0,0,0,12.0,17.0,51.0,2014,1.0,1,8,2,9200,92001,1,16980,0,2.0,1.0,,7,3,53,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,38.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,550.0,2.0,2.0,2.0,,,11748.7572,2963.9598,0,0,1.0,,0,42,41231,2,1.0,,,,,,2965.0467,9370.0,6420.0,-1,,,,,,,12130.0,2015,660,645,0,0,0,0,0,12.0,19.0,51.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,1,0,0,0,retention
199927808012768,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,4,19,,2,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,10.0,,10.0,,,20.0,,,7.0,2.0,0.0,1,2.0,,1.0,1000.0,100.0,1.0,,1.0,1.0,2.0,12841.7626,3079.3013,0,0,1.0,1.0,0,42,53768,3,,,2.0,,,,2974.3866,7870.0,5320.0,-1,,,,,1.0,1.0,11402.0,2014,648,645,0,0,0,0,0,13.0,17.0,40.0,2014,1.0,1,8,2,9200,92001,1,16980,0,2.0,1.0,,7,4,20,,2,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,10.0,,20.0,,,20.0,,,7.0,4.0,0.0,1,2.0,,1.0,800.0,80.0,2.0,2.0,1.0,1.0,2.0,11962.0772,3030.0068,0,0,1.0,1.0,0,0,18625,3,,,3.0,,,,3011.2624,6770.0,5400.0,2540,,,,,1.0,1.0,12143.0,2015,660,645,0,0,0,0,0,14.0,17.0,31.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,1,0,1,retention
