hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,race21_t1,race26_t1,occ2012_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,exited_public,switched_class94,analytic_sample
193873404073726,1,1.0,7,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,28,,2,37,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,14.0,3.0,11.0,2.0,0.0,2,,,,,,,,,,,14182.1244,3090.0022,0,0,,,0,0,64601,1,,,,,,,3155.3184,9370.0,9620.0,-1,,,,,,,11235.0,2011,612,609,0,0,0,0,0,11.0,22.0,51.0,2011,1.0,7,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,2,30,,2,37,2,,0,0,7,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,8.0,5.0,11.0,7.0,0.0,2,,,,,,,,,,,16535.3412,2981.1574,0,0,,,0,0,51710,1,,,,,,,2751.9641,8370.0,4230.0,-1,,,,,,,11073.0,2012,624,609,0,0,0,0,0,11.0,2.0,,,14.0,43.0,2012,MIS4_to_MIS8,2011-2012,False,True,True,1
197933805088786,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,46,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,2.0,5.0,40.0,,,,,,,,5.0,3.0,0.0,1,2.0,2.0,2.0,,1730.76,1.0,,,,,14183.9074,3486.8322,3,2,0.0,,0,0,6741,1,,,3.0,,,,3505.2416,9470.0,3740.0,-1,,,,,,,11245.0,2011,612,609,0,0,1,0,0,14.0,12.0,51.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,1,47,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1250.0,1.0,,,,,12557.82,3187.4193,10,2,0.0,,0,0,8627,1,,,4.0,,,,3190.4001,9470.0,3740.0,9130,,,,,,,11096.0,2012,624,609,0,0,1,1,0,15.0,1.0,,,12.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
571388083906897,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,2,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,25.0,,25.0,,,18.0,,,7.0,1.0,0.0,1,2.0,1.0,1.0,1500.0,750.0,2.0,2.0,,,,12080.5471,2912.3113,8,2,0.0,0.0,0,0,30414,1,,,2.0,,,,2917.3413,9590.0,3930.0,-1,,,,,,,11355.0,2011,612,609,0,1,1,0,1,13.0,12.0,51.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,1,41,2.0,2,40,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,25.0,,25.0,,,17.0,,,7.0,1.0,0.0,1,2.0,1.0,1.0,1525.0,625.0,1.0,,,,,11756.3109,2920.6538,3,2,0.0,0.0,0,0,55117,1,,,2.0,,,,2914.8256,9590.0,3945.0,-1,,,,,,,11197.0,2012,624,609,0,0,1,0,0,13.0,1.0,,,12.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
633191939700037,1,1.0,4,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,52,,2,39,2,,1,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,4.0,27.0,,,4.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,865.38,1.0,,,,,10465.7459,2756.6089,0,0,0.0,,0,0,47853,1,1.0,,,,,,2709.4625,9470.0,5220.0,-1,,,,,,,11372.0,2011,612,609,0,0,0,0,0,12.0,17.0,51.0,2011,1.0,4,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,1,53,,2,39,2,,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,2500.0,1100.0,1.0,,,,,12471.472,3320.8777,0,0,0.0,0.0,0,0,66209,1,1.0,,,,,,3289.6693,9470.0,5220.0,-1,,,,,,,11210.0,2012,624,609,0,0,0,0,0,12.0,2.0,,,17.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
838193579700688,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,33,2.0,1,43,1,,1,1,2,1,2,57,57,57,1,0,0,1.0,2.0,4.0,40.0,,,,,,,,5.0,3.0,0.0,1,1.0,2.0,2.0,,1200.0,1.0,,,,,12057.1994,3061.7442,13,4,0.0,,0,0,18157,1,,,,2.0,,,3027.9247,9470.0,3850.0,-1,1.0,,,,,,11447.0,2011,612,609,1,0,1,1,1,16.0,12.0,51.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,3,34,2.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,1.0,1.0,3488.0,2600.0,1.0,,,,,11593.0898,2897.2635,15,4,0.0,0.0,0,0,44561,1,,,,2.0,,,2909.6616,9470.0,3850.0,-1,1.0,,,,,,11286.0,2012,624,609,1,1,1,1,1,16.0,1.0,,,12.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
936097973138310,1,1.0,4,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,56,,2,40,2,,1,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1134.61,1.0,,,,,10409.5368,2844.7403,0,0,0.0,,0,0,40317,1,,,3.0,,,,2796.0866,6970.0,5240.0,-1,,,,,,,11499.0,2011,612,609,0,0,0,0,0,14.0,17.0,32.0,2011,1.0,7,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,2,57,,2,40,2,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1057.69,2.0,2.0,,,,9220.6075,2886.1632,0,0,0.0,,0,0,58933,1,,,2.0,,,,2859.0402,6970.0,540.0,-1,,,,,,,11338.0,2012,624,609,0,0,0,0,0,13.0,2.0,,,2.0,32.0,2012,MIS4_to_MIS8,2011-2012,False,True,True,1
36199138700390,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,63,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1900.0,760.0,1.0,,,,,13158.5251,3290.3655,0,0,1.0,1.0,0,0,40311,1,1.0,,,,,,3238.0292,7860.0,4220.0,-1,,,,,,,11563.0,2011,612,609,0,0,0,0,0,12.0,14.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,65,2.0,1,39,1,,1,1,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,11410.3917,2891.2486,0,0,,,0,0,34648,1,1.0,,,,,,2899.6218,7860.0,4220.0,-1,,,,,,,11418.0,2012,624,609,0,0,0,0,0,12.0,1.0,,,14.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
45061370978198,1,2.0,6,4,2,8800,88002,2,2,33,17,16980,0,2.0,1.0,,7,2,52,,1,42,2,,1,0,0,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,35.0,,,,,,2.0,1.0,0.0,1,1.0,1.0,1.0,1200.0,1500.0,1.0,,,,,10000.3698,2533.2059,0,0,0.0,1.0,0,0,18346,1,,,3.0,,,,2505.06,8190.0,160.0,-1,3.0,,,,,,11568.0,2011,612,609,0,0,0,0,0,14.0,1.0,41.0,2011,2.0,6,8,2,8800,88002,2,17,16980,0,2.0,1.0,,7,2,54,,1,42,2,,0,0,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,6.0,32.0,,,6.0,,,4.0,1.0,0.0,1,1.0,1.0,1.0,2000.0,1192.3,1.0,,,,,14793.5244,3939.8415,0,0,0.0,1.0,0,0,44654,1,,,3.0,,,,3873.7435,8190.0,5000.0,-1,3.0,,,,,,11422.0,2012,624,609,0,0,0,0,0,14.0,2.0,,,17.0,41.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
170971096513559,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,3,36,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,60.0,,60.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2368.42,2.0,2.0,,,,10774.2175,2734.55,8,2,0.0,,0,0,47940,2,,,,,,2.0,2726.7208,7860.0,2320.0,230,,,,,,,11629.0,2011,612,609,0,1,1,0,1,18.0,8.0,40.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,3,37,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1634.61,2.0,2.0,,,,11992.6843,2913.7366,8,2,0.0,,0,0,63071,2,,,,,,2.0,2932.3651,7860.0,2320.0,-1,,,,,,,11486.0,2012,624,609,0,1,1,0,1,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
197983505071798,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,46,2.0,1,43,1,,1,1,1,1,2,147,147,147,4,0,17,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,961.53,1.0,,,,,13802.4559,3393.0599,14,3,0.0,,0,0,18350,1,,,,2.0,,,3410.9742,9570.0,1720.0,-1,,,,,,,11685.0,2011,612,609,0,1,1,1,1,16.0,5.0,51.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,47,2.0,1,43,1,,1,1,1,2,147,147,147,4,0,17,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1057.69,1.0,,,,,11888.4984,3017.5325,10,3,0.0,,0,0,44655,1,,,,2.0,,,3020.3544,9570.0,4240.0,-1,,,,,,,11560.0,2012,624,609,0,0,1,1,0,16.0,1.0,,,14.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,True,1
